cell_id,run_id,bundle_id,validation_attempt_id,research_oos_attempt_id,runtime_probe_pair_complete,portable_contract_pair_complete,proxy_judgment,comparison_class,source_l5_routing_status,validation_proxy_profit_factor,research_oos_proxy_profit_factor,routing_decision,routing_reason,candidate_id,candidate_summary_path,candidate_count_delta,l5_candidate_count_delta,claim_boundary,next_action
wave03_vst_cell_001,onnxlab_wave03_vst_cell_001_compression_reversal_h6_v0,bundle_wave03_vst_cell_001_l4_onnx_export_v0,attempt_wave03_vst_cell_001_l4_validation_portable_sensitive_identity_probe_v0,attempt_wave03_vst_cell_001_l4_research_oos_portable_sensitive_identity_probe_v0,true,true,inconclusive,proxy_inconclusive_portable_l4_runtime_score_observed,portable_l4_complete_proxy_inconclusive_no_l5_candidate,1.0413017632167174,0.8439524750194111,hold_no_l5_candidate_manifest,source_pair_not_preserved_clue_with_completed_portable_l4_contract,,,0,0,wave03_volatility_state_l5_routing_decision_only_no_selected_baseline_no_runtime_authority_no_economics_pass_no_l5_candidate_no_live_readiness_no_goal_achieve,continue portable repair or rotate after no-candidate routing
wave03_vst_cell_002,onnxlab_wave03_vst_cell_002_compression_reversal_h8_v0,bundle_wave03_vst_cell_002_l4_onnx_export_v0,attempt_wave03_vst_cell_002_l4_validation_v0,attempt_wave03_vst_cell_002_l4_research_oos_v0,false,false,inconclusive,proxy_inconclusive_runtime_score_observed_but_portable_contract_missing,no_l5_until_portable_l4_contract,0.9378200424774907,0.9023068125730143,hold_no_l5_candidate_manifest,source_pair_not_preserved_clue_with_completed_portable_l4_contract,,,0,0,wave03_volatility_state_l5_routing_decision_only_no_selected_baseline_no_runtime_authority_no_economics_pass_no_l5_candidate_no_live_readiness_no_goal_achieve,continue portable repair or rotate after no-candidate routing
wave03_vst_cell_003,onnxlab_wave03_vst_cell_003_compression_continuation_h6_v0,bundle_wave03_vst_cell_003_l4_onnx_export_v0,attempt_wave03_vst_cell_003_l4_validation_v0,attempt_wave03_vst_cell_003_l4_research_oos_v0,false,false,inconclusive,proxy_inconclusive_runtime_score_observed_but_portable_contract_missing,no_l5_until_portable_l4_contract,1.0071686840589122,0.8604841837006441,hold_no_l5_candidate_manifest,source_pair_not_preserved_clue_with_completed_portable_l4_contract,,,0,0,wave03_volatility_state_l5_routing_decision_only_no_selected_baseline_no_runtime_authority_no_economics_pass_no_l5_candidate_no_live_readiness_no_goal_achieve,continue portable repair or rotate after no-candidate routing
wave03_vst_cell_004,onnxlab_wave03_vst_cell_004_compression_continuation_h12_v0,bundle_wave03_vst_cell_004_l4_onnx_export_v0,attempt_wave03_vst_cell_004_l4_validation_v0,attempt_wave03_vst_cell_004_l4_research_oos_v0,false,false,inconclusive,proxy_inconclusive_runtime_score_observed_but_portable_contract_missing,no_l5_until_portable_l4_contract,0.9515236071528155,0.8535770951210226,hold_no_l5_candidate_manifest,source_pair_not_preserved_clue_with_completed_portable_l4_contract,,,0,0,wave03_volatility_state_l5_routing_decision_only_no_selected_baseline_no_runtime_authority_no_economics_pass_no_l5_candidate_no_live_readiness_no_goal_achieve,continue portable repair or rotate after no-candidate routing
wave03_vst_cell_005,onnxlab_wave03_vst_cell_005_expansion_exhaustion_reversal_h8_v0,bundle_wave03_vst_cell_005_l4_onnx_export_v0,attempt_wave03_vst_cell_005_l4_validation_v0,attempt_wave03_vst_cell_005_l4_research_oos_v0,false,false,preserved_clue,proxy_preserved_clue_runtime_score_observed_but_portable_contract_missing,no_l5_until_portable_l4_contract,1.0055267834563593,0.9817148027736526,hold_no_l5_candidate_manifest,source_pair_not_preserved_clue_with_completed_portable_l4_contract,,,0,0,wave03_volatility_state_l5_routing_decision_only_no_selected_baseline_no_runtime_authority_no_economics_pass_no_l5_candidate_no_live_readiness_no_goal_achieve,continue portable repair or rotate after no-candidate routing
wave03_vst_cell_006,onnxlab_wave03_vst_cell_006_expansion_exhaustion_reversal_h12_v0,bundle_wave03_vst_cell_006_l4_onnx_export_v0,attempt_wave03_vst_cell_006_l4_validation_v0,attempt_wave03_vst_cell_006_l4_research_oos_v0,false,false,preserved_clue,proxy_preserved_clue_runtime_score_observed_but_portable_contract_missing,no_l5_until_portable_l4_contract,1.0125570417306156,1.0066802170315636,hold_no_l5_candidate_manifest,source_pair_not_preserved_clue_with_completed_portable_l4_contract,,,0,0,wave03_volatility_state_l5_routing_decision_only_no_selected_baseline_no_runtime_authority_no_economics_pass_no_l5_candidate_no_live_readiness_no_goal_achieve,continue portable repair or rotate after no-candidate routing
wave03_vst_cell_007,onnxlab_wave03_vst_cell_007_expansion_followthrough_h6_v0,bundle_wave03_vst_cell_007_l4_onnx_export_v0,attempt_wave03_vst_cell_007_l4_validation_v0,attempt_wave03_vst_cell_007_l4_research_oos_v0,false,false,inconclusive,proxy_inconclusive_runtime_score_observed_but_portable_contract_missing,no_l5_until_portable_l4_contract,0.9418423885822305,0.9569526245366098,hold_no_l5_candidate_manifest,source_pair_not_preserved_clue_with_completed_portable_l4_contract,,,0,0,wave03_volatility_state_l5_routing_decision_only_no_selected_baseline_no_runtime_authority_no_economics_pass_no_l5_candidate_no_live_readiness_no_goal_achieve,continue portable repair or rotate after no-candidate routing
wave03_vst_cell_008,onnxlab_wave03_vst_cell_008_expansion_followthrough_h12_v0,bundle_wave03_vst_cell_008_l4_onnx_export_v0,attempt_wave03_vst_cell_008_l4_validation_v0,attempt_wave03_vst_cell_008_l4_research_oos_v0,false,false,preserved_clue,proxy_preserved_clue_runtime_score_observed_but_portable_contract_missing,no_l5_until_portable_l4_contract,0.8735018563602354,0.9462821721256095,hold_no_l5_candidate_manifest,source_pair_not_preserved_clue_with_completed_portable_l4_contract,,,0,0,wave03_volatility_state_l5_routing_decision_only_no_selected_baseline_no_runtime_authority_no_economics_pass_no_l5_candidate_no_live_readiness_no_goal_achieve,continue portable repair or rotate after no-candidate routing
wave03_vst_cell_009,onnxlab_wave03_vst_cell_009_vol_state_tradeability_h8_v0,bundle_wave03_vst_cell_009_l4_onnx_export_v0,attempt_wave03_vst_cell_009_l4_validation_v0,attempt_wave03_vst_cell_009_l4_research_oos_v0,false,false,preserved_clue,proxy_preserved_clue_runtime_score_observed_but_portable_contract_missing,no_l5_until_portable_l4_contract,0.9409722572323812,0.9399204380554245,hold_no_l5_candidate_manifest,source_pair_not_preserved_clue_with_completed_portable_l4_contract,,,0,0,wave03_volatility_state_l5_routing_decision_only_no_selected_baseline_no_runtime_authority_no_economics_pass_no_l5_candidate_no_live_readiness_no_goal_achieve,continue portable repair or rotate after no-candidate routing
wave03_vst_cell_010,onnxlab_wave03_vst_cell_010_vol_state_tradeability_h12_v0,bundle_wave03_vst_cell_010_l4_onnx_export_v0,attempt_wave03_vst_cell_010_l4_validation_v0,attempt_wave03_vst_cell_010_l4_research_oos_v0,false,false,preserved_clue,proxy_preserved_clue_runtime_score_observed_but_portable_contract_missing,no_l5_until_portable_l4_contract,0.9039708765801706,0.9347855040959407,hold_no_l5_candidate_manifest,source_pair_not_preserved_clue_with_completed_portable_l4_contract,,,0,0,wave03_volatility_state_l5_routing_decision_only_no_selected_baseline_no_runtime_authority_no_economics_pass_no_l5_candidate_no_live_readiness_no_goal_achieve,continue portable repair or rotate after no-candidate routing
