horizon_bars,primary_split_role,role_row_count,label_eligible_rows_same_role_future,drop_cross_role_or_end_rows,eligible_pct
1,train,143833,143830,3,99.997914
1,validation,53818,53817,1,99.998142
1,research_oos_a,45557,45556,1,99.997805
1,locked_final_oos_b,38635,38634,1,99.997412
3,train,143833,143824,9,99.993743
3,validation,53818,53815,3,99.994426
3,research_oos_a,45557,45554,3,99.993415
3,locked_final_oos_b,38635,38632,3,99.992235
6,train,143833,143815,18,99.987485
6,validation,53818,53812,6,99.988851
6,research_oos_a,45557,45551,6,99.986830
6,locked_final_oos_b,38635,38629,6,99.984470
12,train,143833,143797,36,99.974971
12,validation,53818,53806,12,99.977703
12,research_oos_a,45557,45545,12,99.973659
12,locked_final_oos_b,38635,38623,12,99.968940
24,train,143833,143761,72,99.949942
24,validation,53818,53794,24,99.955405
24,research_oos_a,45557,45533,24,99.947319
24,locked_final_oos_b,38635,38611,24,99.937880
