cell_id,run_id,bundle_id,validation_attempt_id,research_oos_attempt_id,validation_telemetry_observed,research_oos_telemetry_observed,both_period_roles_observed,validation_row_count,research_oos_row_count,validation_score_mean,research_oos_score_mean,validation_score_min,validation_score_max,research_oos_score_min,research_oos_score_max,validation_feature_count_values,research_oos_feature_count_values,decision_family,proxy_judgment,proxy_validation_metric,comparison_class,standard_l4_completion,result_judgment,l5_routing_status,claim_boundary,next_action
wave0_cell_001,onnxlab_wave0_cell_001_surface_scout_v0,bundle_wave0_cell_001_l4_onnx_export_v0,attempt_wave0_cell_001_l4_validation_v0,attempt_wave0_cell_001_l4_research_oos_v0,true,true,true,53554,45281,-1.4812272771408297e-06,-1.2811674543406726e-06,-0.000227571,0.0001721443,-0.0004022382,0.0008120268,"{""13"": 53554}","{""13"": 45281}",diagnostic_rank_only,inconclusive,0.0063182758103279175,proxy_inconclusive_runtime_score_observed,incomplete_tester_report_missing,runtime_probe,no_l5_diagnostic_score_probe_only,l4_pair_score_observation_judgment_only_no_runtime_authority_no_economics_pass_no_candidate,preserve_runtime_executable_diagnostic_surface_and_rotate_or_use_as_synthesis_ingredient
wave0_cell_002,onnxlab_wave0_cell_002_surface_scout_v0,bundle_wave0_cell_002_l4_onnx_export_v0,attempt_wave0_cell_002_l4_validation_v0,attempt_wave0_cell_002_l4_research_oos_v0,true,true,true,53554,45281,0.5093073093084307,0.5080838083492878,0.3764123321,0.8120430708,0.1472047269,0.8081008196,"{""13"": 53554}","{""13"": 45281}",abstain_capable_long_short,inconclusive,,proxy_inconclusive_runtime_score_observed,incomplete_tester_report_missing,runtime_probe,no_l5_yet_requires_trading_or_sparse_decision_tester_adapter,l4_pair_score_observation_judgment_only_no_runtime_authority_no_economics_pass_no_candidate,build_decision_execution_adapter_before_candidate_L5; score telemetry alone is not economics evidence
wave0_cell_003,onnxlab_wave0_cell_003_surface_scout_v0,bundle_wave0_cell_003_l4_onnx_export_v0,attempt_wave0_cell_003_l4_validation_v0,attempt_wave0_cell_003_l4_research_oos_v0,true,true,true,53554,45281,-6.906891339582478e-06,-8.263907493209072e-06,-0.0007869732,0.0032404475,-0.0017688945,0.0043071955,"{""43"": 53554}","{""43"": 45281}",diagnostic_rank_only,inconclusive,0.005774521607253828,proxy_inconclusive_runtime_score_observed,incomplete_tester_report_missing,runtime_probe,no_l5_diagnostic_score_probe_only,l4_pair_score_observation_judgment_only_no_runtime_authority_no_economics_pass_no_candidate,preserve_runtime_executable_diagnostic_surface_and_rotate_or_use_as_synthesis_ingredient
wave0_cell_004,onnxlab_wave0_cell_004_surface_scout_v0,bundle_wave0_cell_004_l4_onnx_export_v0,attempt_wave0_cell_004_l4_validation_v0,attempt_wave0_cell_004_l4_research_oos_v0,true,true,true,53554,45281,0.5252389585398177,0.5259394793843488,0.2922847569,0.7029386759,0.0512292981,0.7237094641,"{""13"": 53554}","{""13"": 45281}",abstain_capable_long_short,inconclusive,,proxy_inconclusive_runtime_score_observed,incomplete_tester_report_missing,runtime_probe,no_l5_yet_requires_trading_or_sparse_decision_tester_adapter,l4_pair_score_observation_judgment_only_no_runtime_authority_no_economics_pass_no_candidate,build_decision_execution_adapter_before_candidate_L5; score telemetry alone is not economics evidence
wave0_cell_005,onnxlab_wave0_cell_005_surface_scout_v0,bundle_wave0_cell_005_l4_onnx_export_v0,attempt_wave0_cell_005_l4_validation_v0,attempt_wave0_cell_005_l4_research_oos_v0,true,true,true,53554,45281,0.49314386578080444,0.49295801138167444,0.2306030989,0.5942916274,0.2621094584,0.6069455743,"{""43"": 53554}","{""43"": 45281}",abstain_capable_long_short,inconclusive,,proxy_inconclusive_runtime_score_observed,incomplete_tester_report_missing,runtime_probe,no_l5_yet_requires_trading_or_sparse_decision_tester_adapter,l4_pair_score_observation_judgment_only_no_runtime_authority_no_economics_pass_no_candidate,build_decision_execution_adapter_before_candidate_L5; score telemetry alone is not economics evidence
wave0_cell_006,onnxlab_wave0_cell_006_surface_scout_v0,bundle_wave0_cell_006_l4_onnx_export_v0,attempt_wave0_cell_006_l4_validation_v0,attempt_wave0_cell_006_l4_research_oos_v0,true,true,true,53554,45281,-0.1190334194698398,-0.12590213335867584,-2.1694669724,2.6693429947,-3.3515882492,7.4752550125,"{""66"": 53554}","{""66"": 45281}",diagnostic_rank_only,inconclusive,0.027282373116783797,proxy_inconclusive_runtime_score_observed,incomplete_tester_report_missing,runtime_probe,no_l5_diagnostic_score_probe_only,l4_pair_score_observation_judgment_only_no_runtime_authority_no_economics_pass_no_candidate,preserve_runtime_executable_diagnostic_surface_and_rotate_or_use_as_synthesis_ingredient
wave0_cell_007,onnxlab_wave0_cell_007_surface_scout_v0,bundle_wave0_cell_007_l4_onnx_export_v0,attempt_wave0_cell_007_l4_validation_v0,attempt_wave0_cell_007_l4_research_oos_v0,true,true,true,53554,45281,0.31163318042462,0.3145597297339524,0.1391860098,1.6344994307,-0.0412150621,3.3205738068,"{""13"": 53554}","{""13"": 45281}",abstain_capable_direction_agnostic_tradeability,inconclusive,0.004387961213939819,proxy_inconclusive_runtime_score_observed,incomplete_tester_report_missing,runtime_probe,no_l5_yet_requires_trading_or_sparse_decision_tester_adapter,l4_pair_score_observation_judgment_only_no_runtime_authority_no_economics_pass_no_candidate,build_decision_execution_adapter_before_candidate_L5; score telemetry alone is not economics evidence
wave0_cell_008,onnxlab_wave0_cell_008_surface_scout_v0,bundle_wave0_cell_008_l4_onnx_export_v0,attempt_wave0_cell_008_l4_validation_v0,attempt_wave0_cell_008_l4_research_oos_v0,true,true,true,53554,45281,0.5107071068110411,0.5096307193933945,0.1856921017,0.8461859226,0.0721687078,0.7796018124,"{""43"": 53554}","{""43"": 45281}",abstain_capable_direction_agnostic_tradeability,preserved_clue,,proxy_preserved_clue_runtime_score_observed,incomplete_tester_report_missing,runtime_probe,no_l5_yet_requires_trading_or_sparse_decision_tester_adapter,l4_pair_score_observation_judgment_only_no_runtime_authority_no_economics_pass_no_candidate,build_decision_execution_adapter_before_candidate_L5; score telemetry alone is not economics evidence
wave0_cell_009,onnxlab_wave0_cell_009_surface_scout_v0,bundle_wave0_cell_009_l4_onnx_export_v0,attempt_wave0_cell_009_l4_validation_v0,attempt_wave0_cell_009_l4_research_oos_v0,true,true,true,53554,45281,0.6632734624116573,0.644325814139606,-1.3045172691,3.1567614079,-2.1643388271,6.9601135254,"{""66"": 53554}","{""66"": 45281}",diagnostic_rank_only,inconclusive,0.03771084215166334,proxy_inconclusive_runtime_score_observed,incomplete_tester_report_missing,runtime_probe,no_l5_diagnostic_score_probe_only,l4_pair_score_observation_judgment_only_no_runtime_authority_no_economics_pass_no_candidate,preserve_runtime_executable_diagnostic_surface_and_rotate_or_use_as_synthesis_ingredient
wave0_cell_010,onnxlab_wave0_cell_010_surface_scout_v0,bundle_wave0_cell_010_l4_onnx_export_v0,attempt_wave0_cell_010_l4_validation_v0,attempt_wave0_cell_010_l4_research_oos_v0,true,true,true,53554,45281,0.5366118864079994,0.5366641071751265,0.1336496472,0.7889575362,0.2074942887,0.8022145033,"{""9"": 53554}","{""9"": 45281}",diagnostic_rank_only,preserved_clue,,proxy_preserved_clue_runtime_score_observed,incomplete_tester_report_missing,runtime_probe,no_l5_diagnostic_score_probe_only,l4_pair_score_observation_judgment_only_no_runtime_authority_no_economics_pass_no_candidate,preserve_runtime_executable_diagnostic_surface_and_rotate_or_use_as_synthesis_ingredient
