run_id,bundle_id,cell_id,status,result_judgment,model_family,task_kind,decision_family,feature_count,bundle_manifest_path,bundle_manifest_sha256,onnx_path,onnx_sha256,onnx_size_bytes,parity_status,parity_max_abs_error,parity_mean_abs_error,parity_sample_rows,l4_status,claim_boundary
onnxlab_wave0_cell_001_surface_scout_v0,bundle_wave0_cell_001_l4_onnx_export_v0,wave0_cell_001,onnx_exported_python_onnxruntime_parity_passed,inconclusive,linear_or_ridge_rank_scout,regression,diagnostic_rank_only,13,runtime/packages/bundle_wave0_cell_001_l4_onnx_export_v0/experiment_bundle.json,ec2742cd3cb386161e2d862096564e5dc89b95853ec9f48f4c47909811ccd3a1,runtime/packages/bundle_wave0_cell_001_l4_onnx_export_v0/artifacts/model.onnx,ddbda1e5d0cbd8fecb3437cabcac8b8d06cf0b0ffc382fb2042bda7749019709,712,passed,6.5018178354810975e-12,7.353089525359518e-13,512,pending_strategy_tester_adapter,onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave0_cell_002_surface_scout_v0,bundle_wave0_cell_002_l4_onnx_export_v0,wave0_cell_002,onnx_exported_python_onnxruntime_parity_passed,inconclusive,logistic_classification_scout,classification,abstain_capable_long_short,13,runtime/packages/bundle_wave0_cell_002_l4_onnx_export_v0/experiment_bundle.json,6629d6dd552a56f9b75fcef6216f9c5263735e9e4e57bc760fe8523414cf69f5,runtime/packages/bundle_wave0_cell_002_l4_onnx_export_v0/artifacts/model.onnx,546846be1553bb1a8af8858f206c7b47af82f516d8f4407f6d7b92675daf9895,897,passed,3.2671956473606656e-08,1.4161464943415747e-08,512,pending_strategy_tester_adapter,onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave0_cell_003_surface_scout_v0,bundle_wave0_cell_003_l4_onnx_export_v0,wave0_cell_003,onnx_exported_python_onnxruntime_parity_passed,inconclusive,linear_or_ridge_rank_scout,regression,diagnostic_rank_only,43,runtime/packages/bundle_wave0_cell_003_l4_onnx_export_v0/experiment_bundle.json,2f3edadaeb23aea5ef28c58e276f2e447ee1533b7a64a74f56e71a1b4d7f6ace,runtime/packages/bundle_wave0_cell_003_l4_onnx_export_v0/artifacts/model.onnx,234494fa0f1b1ea514781ee5a2753fafe20d39d7699fb65e04cb499797859cb2,1316,passed,6.713034120421754e-10,9.9608785092543e-11,512,pending_strategy_tester_adapter,onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave0_cell_004_surface_scout_v0,bundle_wave0_cell_004_l4_onnx_export_v0,wave0_cell_004,onnx_exported_python_onnxruntime_parity_passed,inconclusive,logistic_classification_scout,classification,abstain_capable_long_short,13,runtime/packages/bundle_wave0_cell_004_l4_onnx_export_v0/experiment_bundle.json,b9811796a22abb138fd5017f7197d91d48db3e2df223032692df35424adc4bd5,runtime/packages/bundle_wave0_cell_004_l4_onnx_export_v0/artifacts/model.onnx,916da3fa82e456717af07de4eacf6f7a57a7752ec0635b506d3cd091bd5f44cd,897,passed,4.1977119447089706e-08,1.4402981013471143e-08,512,pending_strategy_tester_adapter,onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave0_cell_006_surface_scout_v0,bundle_wave0_cell_006_l4_onnx_export_v0,wave0_cell_006,onnx_exported_python_onnxruntime_parity_passed,inconclusive,linear_or_ridge_rank_scout,regression,diagnostic_rank_only,66,runtime/packages/bundle_wave0_cell_006_l4_onnx_export_v0/experiment_bundle.json,ffec9f38121ba9bfa8ab974acad7594d9d12f5c1c5eb1e1a8099e3fbf6558800,runtime/packages/bundle_wave0_cell_006_l4_onnx_export_v0/artifacts/model.onnx,2a8c58cfc709de4251c36561261987d24d7a8c866cd643e547aaaaf04d84583c,1776,passed,1.735820034709512e-06,4.7385996542720463e-07,512,pending_strategy_tester_adapter,onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave0_cell_007_surface_scout_v0,bundle_wave0_cell_007_l4_onnx_export_v0,wave0_cell_007,onnx_exported_python_onnxruntime_parity_passed,inconclusive,linear_or_ridge_rank_scout,regression,abstain_capable_direction_agnostic_tradeability,13,runtime/packages/bundle_wave0_cell_007_l4_onnx_export_v0/experiment_bundle.json,0c63a35bb31230e6a327232ba74b12ecf1e608b8877e6a829f92a3390ef458cc,runtime/packages/bundle_wave0_cell_007_l4_onnx_export_v0/artifacts/model.onnx,8ac5a2c448d442af6152224526da328a1d9b44d068927d72230e328eb844299a,712,passed,5.213921516755704e-08,1.077620744179518e-08,512,pending_strategy_tester_adapter,onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave0_cell_008_surface_scout_v0,bundle_wave0_cell_008_l4_onnx_export_v0,wave0_cell_008,onnx_exported_python_onnxruntime_parity_passed,preserved_clue,logistic_classification_scout,classification,abstain_capable_direction_agnostic_tradeability,43,runtime/packages/bundle_wave0_cell_008_l4_onnx_export_v0/experiment_bundle.json,2671977b991b3c0af6f071f75830572ac470688ae1dd106f1368e42d9e8e630e,runtime/packages/bundle_wave0_cell_008_l4_onnx_export_v0/artifacts/model.onnx,94fc0990108a4d4cfede6816d0994bea94426f78f0ca2ac520afa3d72593e1c3,1650,passed,7.11244698692326e-08,1.5356399401546782e-08,512,pending_strategy_tester_adapter,onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave0_cell_009_surface_scout_v0,bundle_wave0_cell_009_l4_onnx_export_v0,wave0_cell_009,onnx_exported_python_onnxruntime_parity_passed,inconclusive,linear_or_ridge_rank_scout,regression,diagnostic_rank_only,66,runtime/packages/bundle_wave0_cell_009_l4_onnx_export_v0/experiment_bundle.json,b895b1cff6061b1b993b32533e21ee05e4bec6bf94f88947bd53ef46c041405a,runtime/packages/bundle_wave0_cell_009_l4_onnx_export_v0/artifacts/model.onnx,f329a97264f32530e83c1dd3a39c1604164454bb578172ec748643597d73d58d,1776,passed,1.6975350956016655e-06,4.020680178083323e-07,512,pending_strategy_tester_adapter,onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave0_cell_010_surface_scout_v0,bundle_wave0_cell_010_l4_onnx_export_v0,wave0_cell_010,onnx_exported_python_onnxruntime_parity_passed,preserved_clue,logistic_classification_scout,classification,diagnostic_rank_only,9,runtime/packages/bundle_wave0_cell_010_l4_onnx_export_v0/experiment_bundle.json,ce978aeb9132861b213a8050f6b3beb5735d8d8b6ead9c2b08d3f38c13336e65,runtime/packages/bundle_wave0_cell_010_l4_onnx_export_v0/artifacts/model.onnx,e68706b72a09f8be6f3b02ad75f0998a4c2aeda02e1853c588ede580857e947b,796,passed,5.6447419183314196e-08,1.5770522379969162e-08,512,pending_strategy_tester_adapter,onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave0_cell_011_surface_scout_v0,bundle_wave0_cell_011_l4_onnx_export_v0,wave0_cell_011,onnx_exported_python_onnxruntime_parity_passed,preserved_clue,logistic_classification_scout,classification,abstain_capable_direction_agnostic_tradeability,66,runtime/packages/bundle_wave0_cell_011_l4_onnx_export_v0/experiment_bundle.json,1570e80cfabcba7680f671d487647067cd8bb30b69b2b3fbcf20faa33b9e4752,runtime/packages/bundle_wave0_cell_011_l4_onnx_export_v0/artifacts/model.onnx,1c36e972880487e26e069eeaefaa2d16612a2678f4873a29841ec4f70d940014,2225,passed,1.2440876973052184e-07,2.3056013214773925e-08,512,pending_strategy_tester_adapter,onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_candidate_no_baseline
