attempt_id,source_attempt_id,run_id,bundle_id,cell_id,period_role,direction_policy,hold_bars,hold_bars_source,from_date,to_date,status,attempt_manifest_path,tester_config_path,source_score_telemetry_common_path,execution_telemetry_common_path,trade_shape_telemetry_common_path,decision_family,decision_execution_kind,decision_output,score_low_threshold,score_high_threshold,runtime_period_set_id,tester_execution_profile_id,claim_boundary
attempt_wave02_crh_cell_001_l4_decision_replay_validation_score_band_side_v0,attempt_wave02_crh_cell_001_l4_validation_v0,onnxlab_wave02_crh_cell_001_cost_risk_holding_v0,bundle_wave02_crh_cell_001_l4_onnx_export_v0,wave02_crh_cell_001,validation,score_band_side,6,target_and_label.label_variant,2024.06.05,2025.03.10,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave02_crh_cell_001_l4_decision_replay_validation_score_band_side_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave02_crh_cell_001_l4_decision_replay_validation_score_band_side_v0/tester_config.ini,SpaceSonar\wave02_cost_risk_holding_l4_score_probe\attempt_wave02_crh_cell_001_l4_validation_v0\score_telemetry.csv,SpaceSonar\wave02_cost_risk_holding_l4_decision_replay\attempt_wave02_crh_cell_001_l4_decision_replay_validation_score_band_side_v0\execution_telemetry.csv,SpaceSonar\wave02_cost_risk_holding_l4_decision_replay\attempt_wave02_crh_cell_001_l4_decision_replay_validation_score_band_side_v0\trade_shape_telemetry.csv,abstain_timeout_h6,score_band_directional,score_ge_high_long_score_le_low_short_else_flat,0.3977058869156862,0.6128074412013571,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,wave02_cost_risk_holding_decision_replay_adapter_preparation_only_no_selected_baseline_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
attempt_wave02_crh_cell_001_l4_decision_replay_research_oos_score_band_side_v0,attempt_wave02_crh_cell_001_l4_research_oos_v0,onnxlab_wave02_crh_cell_001_cost_risk_holding_v0,bundle_wave02_crh_cell_001_l4_onnx_export_v0,wave02_crh_cell_001,research_oos,score_band_side,6,target_and_label.label_variant,2025.04.03,2025.11.21,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave02_crh_cell_001_l4_decision_replay_research_oos_score_band_side_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave02_crh_cell_001_l4_decision_replay_research_oos_score_band_side_v0/tester_config.ini,SpaceSonar\wave02_cost_risk_holding_l4_score_probe\attempt_wave02_crh_cell_001_l4_research_oos_v0\score_telemetry.csv,SpaceSonar\wave02_cost_risk_holding_l4_decision_replay\attempt_wave02_crh_cell_001_l4_decision_replay_research_oos_score_band_side_v0\execution_telemetry.csv,SpaceSonar\wave02_cost_risk_holding_l4_decision_replay\attempt_wave02_crh_cell_001_l4_decision_replay_research_oos_score_band_side_v0\trade_shape_telemetry.csv,abstain_timeout_h6,score_band_directional,score_ge_high_long_score_le_low_short_else_flat,0.3977058869156862,0.6128074412013571,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,wave02_cost_risk_holding_decision_replay_adapter_preparation_only_no_selected_baseline_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
attempt_wave02_crh_cell_002_l4_decision_replay_validation_score_band_side_v0,attempt_wave02_crh_cell_002_l4_validation_v0,onnxlab_wave02_crh_cell_002_cost_risk_holding_v0,bundle_wave02_crh_cell_002_l4_onnx_export_v0,wave02_crh_cell_002,validation,score_band_side,12,target_and_label.label_variant,2024.06.05,2025.03.10,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave02_crh_cell_002_l4_decision_replay_validation_score_band_side_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave02_crh_cell_002_l4_decision_replay_validation_score_band_side_v0/tester_config.ini,SpaceSonar\wave02_cost_risk_holding_l4_score_probe\attempt_wave02_crh_cell_002_l4_validation_v0\score_telemetry.csv,SpaceSonar\wave02_cost_risk_holding_l4_decision_replay\attempt_wave02_crh_cell_002_l4_decision_replay_validation_score_band_side_v0\execution_telemetry.csv,SpaceSonar\wave02_cost_risk_holding_l4_decision_replay\attempt_wave02_crh_cell_002_l4_decision_replay_validation_score_band_side_v0\trade_shape_telemetry.csv,abstain_timeout_h12,score_band_directional,score_ge_high_long_score_le_low_short_else_flat,0.6438844657778336,0.8124841188487502,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,wave02_cost_risk_holding_decision_replay_adapter_preparation_only_no_selected_baseline_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
attempt_wave02_crh_cell_002_l4_decision_replay_research_oos_score_band_side_v0,attempt_wave02_crh_cell_002_l4_research_oos_v0,onnxlab_wave02_crh_cell_002_cost_risk_holding_v0,bundle_wave02_crh_cell_002_l4_onnx_export_v0,wave02_crh_cell_002,research_oos,score_band_side,12,target_and_label.label_variant,2025.04.03,2025.11.21,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave02_crh_cell_002_l4_decision_replay_research_oos_score_band_side_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave02_crh_cell_002_l4_decision_replay_research_oos_score_band_side_v0/tester_config.ini,SpaceSonar\wave02_cost_risk_holding_l4_score_probe\attempt_wave02_crh_cell_002_l4_research_oos_v0\score_telemetry.csv,SpaceSonar\wave02_cost_risk_holding_l4_decision_replay\attempt_wave02_crh_cell_002_l4_decision_replay_research_oos_score_band_side_v0\execution_telemetry.csv,SpaceSonar\wave02_cost_risk_holding_l4_decision_replay\attempt_wave02_crh_cell_002_l4_decision_replay_research_oos_score_band_side_v0\trade_shape_telemetry.csv,abstain_timeout_h12,score_band_directional,score_ge_high_long_score_le_low_short_else_flat,0.6438844657778336,0.8124841188487502,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,wave02_cost_risk_holding_decision_replay_adapter_preparation_only_no_selected_baseline_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
attempt_wave02_crh_cell_003_l4_decision_replay_validation_score_band_side_v0,attempt_wave02_crh_cell_003_l4_validation_v0,onnxlab_wave02_crh_cell_003_cost_risk_holding_v0,bundle_wave02_crh_cell_003_l4_onnx_export_v0,wave02_crh_cell_003,validation,score_band_side,6,target_and_label.label_variant,2024.06.05,2025.03.10,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave02_crh_cell_003_l4_decision_replay_validation_score_band_side_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave02_crh_cell_003_l4_decision_replay_validation_score_band_side_v0/tester_config.ini,SpaceSonar\wave02_cost_risk_holding_l4_score_probe\attempt_wave02_crh_cell_003_l4_validation_v0\score_telemetry.csv,SpaceSonar\wave02_cost_risk_holding_l4_decision_replay\attempt_wave02_crh_cell_003_l4_decision_replay_validation_score_band_side_v0\execution_telemetry.csv,SpaceSonar\wave02_cost_risk_holding_l4_decision_replay\attempt_wave02_crh_cell_003_l4_decision_replay_validation_score_band_side_v0\trade_shape_telemetry.csv,adverse_excursion_stop,score_band_directional,score_ge_high_long_score_le_low_short_else_flat,0.4564826258382037,0.5484378681874633,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,wave02_cost_risk_holding_decision_replay_adapter_preparation_only_no_selected_baseline_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
attempt_wave02_crh_cell_003_l4_decision_replay_research_oos_score_band_side_v0,attempt_wave02_crh_cell_003_l4_research_oos_v0,onnxlab_wave02_crh_cell_003_cost_risk_holding_v0,bundle_wave02_crh_cell_003_l4_onnx_export_v0,wave02_crh_cell_003,research_oos,score_band_side,6,target_and_label.label_variant,2025.04.03,2025.11.21,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave02_crh_cell_003_l4_decision_replay_research_oos_score_band_side_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave02_crh_cell_003_l4_decision_replay_research_oos_score_band_side_v0/tester_config.ini,SpaceSonar\wave02_cost_risk_holding_l4_score_probe\attempt_wave02_crh_cell_003_l4_research_oos_v0\score_telemetry.csv,SpaceSonar\wave02_cost_risk_holding_l4_decision_replay\attempt_wave02_crh_cell_003_l4_decision_replay_research_oos_score_band_side_v0\execution_telemetry.csv,SpaceSonar\wave02_cost_risk_holding_l4_decision_replay\attempt_wave02_crh_cell_003_l4_decision_replay_research_oos_score_band_side_v0\trade_shape_telemetry.csv,adverse_excursion_stop,score_band_directional,score_ge_high_long_score_le_low_short_else_flat,0.4564826258382037,0.5484378681874633,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,wave02_cost_risk_holding_decision_replay_adapter_preparation_only_no_selected_baseline_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
attempt_wave02_crh_cell_004_l4_decision_replay_validation_score_band_side_v0,attempt_wave02_crh_cell_004_l4_validation_v0,onnxlab_wave02_crh_cell_004_cost_risk_holding_v0,bundle_wave02_crh_cell_004_l4_onnx_export_v0,wave02_crh_cell_004,validation,score_band_side,6,target_and_label.label_variant,2024.06.05,2025.03.10,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave02_crh_cell_004_l4_decision_replay_validation_score_band_side_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave02_crh_cell_004_l4_decision_replay_validation_score_band_side_v0/tester_config.ini,SpaceSonar\wave02_cost_risk_holding_l4_score_probe\attempt_wave02_crh_cell_004_l4_validation_v0\score_telemetry.csv,SpaceSonar\wave02_cost_risk_holding_l4_decision_replay\attempt_wave02_crh_cell_004_l4_decision_replay_validation_score_band_side_v0\execution_telemetry.csv,SpaceSonar\wave02_cost_risk_holding_l4_decision_replay\attempt_wave02_crh_cell_004_l4_decision_replay_validation_score_band_side_v0\trade_shape_telemetry.csv,open_failed_abstain_gate,score_band_directional,score_ge_high_long_score_le_low_short_else_flat,0.5682955295834434,0.7531814781261509,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,wave02_cost_risk_holding_decision_replay_adapter_preparation_only_no_selected_baseline_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
attempt_wave02_crh_cell_004_l4_decision_replay_research_oos_score_band_side_v0,attempt_wave02_crh_cell_004_l4_research_oos_v0,onnxlab_wave02_crh_cell_004_cost_risk_holding_v0,bundle_wave02_crh_cell_004_l4_onnx_export_v0,wave02_crh_cell_004,research_oos,score_band_side,6,target_and_label.label_variant,2025.04.03,2025.11.21,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave02_crh_cell_004_l4_decision_replay_research_oos_score_band_side_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave02_crh_cell_004_l4_decision_replay_research_oos_score_band_side_v0/tester_config.ini,SpaceSonar\wave02_cost_risk_holding_l4_score_probe\attempt_wave02_crh_cell_004_l4_research_oos_v0\score_telemetry.csv,SpaceSonar\wave02_cost_risk_holding_l4_decision_replay\attempt_wave02_crh_cell_004_l4_decision_replay_research_oos_score_band_side_v0\execution_telemetry.csv,SpaceSonar\wave02_cost_risk_holding_l4_decision_replay\attempt_wave02_crh_cell_004_l4_decision_replay_research_oos_score_band_side_v0\trade_shape_telemetry.csv,open_failed_abstain_gate,score_band_directional,score_ge_high_long_score_le_low_short_else_flat,0.5682955295834434,0.7531814781261509,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,wave02_cost_risk_holding_decision_replay_adapter_preparation_only_no_selected_baseline_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
attempt_wave02_crh_cell_005_l4_decision_replay_validation_score_band_side_v0,attempt_wave02_crh_cell_005_l4_validation_v0,onnxlab_wave02_crh_cell_005_cost_risk_holding_v0,bundle_wave02_crh_cell_005_l4_onnx_export_v0,wave02_crh_cell_005,validation,score_band_side,8,target_and_label.label_variant,2024.06.05,2025.03.10,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave02_crh_cell_005_l4_decision_replay_validation_score_band_side_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave02_crh_cell_005_l4_decision_replay_validation_score_band_side_v0/tester_config.ini,SpaceSonar\wave02_cost_risk_holding_l4_score_probe\attempt_wave02_crh_cell_005_l4_validation_v0\score_telemetry.csv,SpaceSonar\wave02_cost_risk_holding_l4_decision_replay\attempt_wave02_crh_cell_005_l4_decision_replay_validation_score_band_side_v0\execution_telemetry.csv,SpaceSonar\wave02_cost_risk_holding_l4_decision_replay\attempt_wave02_crh_cell_005_l4_decision_replay_validation_score_band_side_v0\trade_shape_telemetry.csv,session_abstain_timeout,score_band_directional,score_ge_high_long_score_le_low_short_else_flat,0.4003394160514065,0.6287642007818008,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,wave02_cost_risk_holding_decision_replay_adapter_preparation_only_no_selected_baseline_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
attempt_wave02_crh_cell_005_l4_decision_replay_research_oos_score_band_side_v0,attempt_wave02_crh_cell_005_l4_research_oos_v0,onnxlab_wave02_crh_cell_005_cost_risk_holding_v0,bundle_wave02_crh_cell_005_l4_onnx_export_v0,wave02_crh_cell_005,research_oos,score_band_side,8,target_and_label.label_variant,2025.04.03,2025.11.21,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave02_crh_cell_005_l4_decision_replay_research_oos_score_band_side_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave02_crh_cell_005_l4_decision_replay_research_oos_score_band_side_v0/tester_config.ini,SpaceSonar\wave02_cost_risk_holding_l4_score_probe\attempt_wave02_crh_cell_005_l4_research_oos_v0\score_telemetry.csv,SpaceSonar\wave02_cost_risk_holding_l4_decision_replay\attempt_wave02_crh_cell_005_l4_decision_replay_research_oos_score_band_side_v0\execution_telemetry.csv,SpaceSonar\wave02_cost_risk_holding_l4_decision_replay\attempt_wave02_crh_cell_005_l4_decision_replay_research_oos_score_band_side_v0\trade_shape_telemetry.csv,session_abstain_timeout,score_band_directional,score_ge_high_long_score_le_low_short_else_flat,0.4003394160514065,0.6287642007818008,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,wave02_cost_risk_holding_decision_replay_adapter_preparation_only_no_selected_baseline_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
attempt_wave02_crh_cell_006_l4_decision_replay_validation_score_band_side_v0,attempt_wave02_crh_cell_006_l4_validation_v0,onnxlab_wave02_crh_cell_006_cost_risk_holding_v0,bundle_wave02_crh_cell_006_l4_onnx_export_v0,wave02_crh_cell_006,validation,score_band_side,10,target_and_label.label_variant,2024.06.05,2025.03.10,prepared_pending_terminal_execution,runtime/mt5_attempts/attempt_wave02_crh_cell_006_l4_decision_replay_validation_score_band_side_v0/attempt_manifest.yaml,runtime/mt5_attempts/attempt_wave02_crh_cell_006_l4_decision_replay_validation_score_band_side_v0/tester_config.ini,SpaceSonar\wave02_cost_risk_holding_l4_score_probe\attempt_wave02_crh_cell_006_l4_validation_v0\score_telemetry.csv,SpaceSonar\wave02_cost_risk_holding_l4_decision_replay\attempt_wave02_crh_cell_006_l4_decision_replay_validation_score_band_side_v0\execution_telemetry.csv,SpaceSonar\wave02_cost_risk_holding_l4_decision_replay\attempt_wave02_crh_cell_006_l4_decision_replay_validation_score_band_side_v0\trade_shape_telemetry.csv,volatility_stop_timeout,score_band_directional,score_ge_high_long_score_le_low_short_else_flat,0.6358680756308742,0.8118602672847772,split_base_anchor_v0_research_l4,us100_m5_fpmarkets_tester_execution_v0,wave02_cost_risk_holding_decision_replay_adapter_preparation_only_no_selected_baseline_no_runtime_authority_no_economics_pass_no_candidate_no_live_readiness_no_goal_achieve
