spec_id,label_surface,horizon_bars,session_anchor,transition_window_bars,regime_label,feature_family,feature_scope,model_family,model_task,decision_family,holding_policy,risk_policy,threshold_policy,split_use,valid_proxy_model_bearing,runtime_level_required,locked_final_oos_b_used,auxiliary_symbols,feature_count_policy,purpose
wave01_st_cell_001,cash_open_transition_followthrough,6,ny_cash_open,pre_6_to_post_12,open_range_expansion,session_state_price_range_context,bar_position_return_range_realized_volatility_session_phase,logistic_or_linear_rank_scout,transition_followthrough_classification,cash_open_abstain_timeout_exit,timeout_6_or_session_window_exit,fixed_lot_0_02_distance_conversion_required_before_L4,train_only_coarse_density_no_pf_search,train_validation_research_oos_a_no_locked_final,True,L4_split_runtime_probe,False,none,variable_declared_per_run_no_fixed_count,test whether cash open transition state carries short-horizon followthrough information
wave01_st_cell_002,pre_cash_compression_release,12,pre_to_cash_transition,pre_24_to_post_24,compression_to_expansion,compression_expansion_causal_context,rolling_range_contraction_expansion_and_break_location,tree_or_boosted_onnx_feasible_scout,release_or_no_release_event,compression_release_abstain_barrier_exit,event_or_timeout_12,atr_distance_conversion_required_before_L4,train_only_min_density_guard,train_validation_research_oos_a_no_locked_final,True,L4_split_runtime_probe,False,none,variable_declared_per_run_no_fixed_count,probe whether compression before cash open changes event tradeability
wave01_st_cell_003,cash_open_failed_breakout_reversion,9,ny_cash_open,post_3_to_post_18,failed_open_breakout,range_edge_reversal_context,open_range_edge_distance_reversal_pressure_volatility,logistic_or_linear_rank_scout,failed_breakout_reversion_bucket,failed_breakout_reversion_abstain_exit,confirm_or_timeout_9,entry_exit_distance_units_explicit_before_MT5,train_only_coarse_abstain_band,train_validation_research_oos_a_no_locked_final,True,L4_split_runtime_probe,False,none,variable_declared_per_run_no_fixed_count,separate transition reversion from generic event-barrier replay
wave01_st_cell_004,mid_session_no_trade_regime,18,ny_mid_session,cash_midday_block,quiet_no_touch_or_low_edge,causal_quiet_regime_context,low_range_low_volume_proxy_time_of_day_and_range_position,tree_or_boosted_onnx_feasible_scout,no_trade_regime_detection,explicit_no_trade_gate,no_position_filter_or_timeout_18,no_trade_state_must_translate_to_EA_skip_before_L4,train_only_no_trade_density_guard,train_validation_research_oos_a_no_locked_final,True,L4_split_runtime_probe,False,none,variable_declared_per_run_no_fixed_count,learn whether abstaining during quiet session states is itself a surface
wave01_st_cell_005,cash_close_transition_dislocation,6,ny_cash_close,pre_close_12_to_close,late_session_dislocation_or_fade,session_state_price_range_context,late_session_range_extension_pullback_and_volatility,logistic_or_linear_rank_scout,late_session_fade_or_extension,cash_close_abstain_timeout_exit,close_before_or_at_session_boundary,timeout_close_timing_must_be_declared_before_L4,train_only_session_density_bands,train_validation_research_oos_a_no_locked_final,True,L4_split_runtime_probe,False,none,variable_declared_per_run_no_fixed_count,probe cash-close behavior without inheriting a fixed holding duration
wave01_st_cell_006,overnight_to_pre_cash_state_shift,24,overnight_to_pre_cash,pre_session_block,state_shift_before_cash,causal_regime_transition_context,overnight_range_gap_proxy_trend_and_volatility_state,small_mlp_secondary_only,state_shift_tradeability_rank,diagnostic_tradeability_abstain,diagnostic_timeout_only_until_trade_surface_declared,diagnostic_no_position_until_decision_surface_declares_trade,rank_only_no_probability_claim,train_validation_research_oos_a_no_locked_final,True,L4_split_runtime_probe,False,none,variable_declared_per_run_no_fixed_count,"allow one secondary nonlinear scout for pre-cash state shift, with no superiority claim"
wave01_st_cell_007,session_blind_control_same_horizon,12,none_session_blind_control,none,control_same_horizon,price_return_range_volatility_context,same_price_range_inputs_without_session_state,logistic_or_linear_rank_scout,session_blind_control_event,session_blind_abstain_timeout_exit,timeout_12,control_surface_still_requires_L4_if_valid_proxy_model_bearing,train_only_control_density_bands,train_validation_research_oos_a_no_locked_final,True,L4_split_runtime_probe,False,none,variable_declared_per_run_no_fixed_count,control whether session features add meaning beyond price-only context
wave01_st_cell_008,range_expansion_continuation_vs_exhaustion,3,active_cash_transition,post_expansion_1_to_6,fast_expansion_continuation_or_exhaustion,fast_transition_shock_context,short_horizon_return_range_shock_and_session_phase,logistic_or_linear_rank_scout,fast_continuation_exhaustion_classification,fast_event_abstain_timeout_exit,very_short_timeout_3,spread_and_fill_timing_risk_declared_before_L4,train_only_density_floor,train_validation_research_oos_a_no_locked_final,True,L4_split_runtime_probe,False,none,variable_declared_per_run_no_fixed_count,expose very short execution drift around transition shocks
wave01_st_cell_009,post_transition_range_acceptance,18,post_cash_open,post_12_to_post_36,range_acceptance_or_rejection,range_acceptance_context,open_range_acceptance_rejection_distance_and_volatility,tree_or_boosted_onnx_feasible_scout,range_acceptance_rejection_bucket,range_acceptance_abstain_timeout_exit,acceptance_or_timeout_18,range_distance_conversion_required_before_L4,no_micro_search_before_repeated_clue,train_validation_research_oos_a_no_locked_final,True,L4_split_runtime_probe,False,none,variable_declared_per_run_no_fixed_count,test whether post-open range acceptance is a distinct surface
wave01_st_cell_010,session_transition_volatility_decay,36,any_major_transition,post_transition_decay_block,volatility_decay_or_persistence,compression_expansion_causal_context,realized_volatility_decay_range_persistence_and_session_phase,logistic_or_linear_rank_scout,volatility_decay_tradeability_rank,volatility_decay_no_trade_or_tradeability_gate,timeout_36_or_no_trade_filter,skip_or_timeout_semantics_required_before_L4,rank_only_no_probability_claim,train_validation_research_oos_a_no_locked_final,True,L4_split_runtime_probe,False,none,variable_declared_per_run_no_fixed_count,capture transition after-effect as tradeability or no-trade state
