run_id,attempt_id,cell_id,bundle_id,period_role,proxy_stream_path,mt5_telemetry_path,proxy_row_count,mt5_row_count,common_key_count,decision_match_count,decision_mismatch_count,proxy_only_row_count,mt5_only_row_count,max_abs_score_delta,proxy_decision_counts_json,mt5_decision_counts_json,row_level_status,claim_boundary
onnxlab_wave03_mix2_cell_001_tradeability_gate_control_v0,attempt_wave03_mix2_cell_001_l4_validation_v0,wave03_mix2_cell_001,bundle_wave03_mix2_cell_001_l4_onnx_export_v0,validation,lab/runs/onnxlab_wave03_mix2_cell_001_tradeability_gate_control_v0/artifacts/proxy_decision_stream_validation.csv,runtime/mt5_attempts/attempt_wave03_mix2_cell_001_l4_validation_v0/telemetry/score_telemetry.csv,53810,53554,53553,53553,0,257,1,2.02432103691e-07,"{""flat"": 32581, ""long"": 9746, ""short"": 11483}","{""flat"": 32470, ""long"": 9673, ""short"": 11411}",common_key_decision_match,wave03_bounded_synthesis_mix2_l4_pair_kpi_parity_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve
onnxlab_wave03_mix2_cell_001_tradeability_gate_control_v0,attempt_wave03_mix2_cell_001_l4_research_oos_v0,wave03_mix2_cell_001,bundle_wave03_mix2_cell_001_l4_onnx_export_v0,research_oos,lab/runs/onnxlab_wave03_mix2_cell_001_tradeability_gate_control_v0/artifacts/proxy_decision_stream_research_oos_a.csv,runtime/mt5_attempts/attempt_wave03_mix2_cell_001_l4_research_oos_v0/telemetry/score_telemetry.csv,45549,45281,45280,45280,0,269,1,5.29111821801e-07,"{""flat"": 28286, ""long"": 7701, ""short"": 9562}","{""flat"": 28169, ""long"": 7640, ""short"": 9472}",common_key_decision_match,wave03_bounded_synthesis_mix2_l4_pair_kpi_parity_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve
onnxlab_wave03_mix2_cell_002_tradeability_gate_longer_horizon_v0,attempt_wave03_mix2_cell_002_l4_validation_v0,wave03_mix2_cell_002,bundle_wave03_mix2_cell_002_l4_onnx_export_v0,validation,lab/runs/onnxlab_wave03_mix2_cell_002_tradeability_gate_longer_horizon_v0/artifacts/proxy_decision_stream_validation.csv,runtime/mt5_attempts/attempt_wave03_mix2_cell_002_l4_validation_v0/telemetry/score_telemetry.csv,53806,53554,53553,53553,0,253,1,1.84630747579e-07,"{""flat"": 31072, ""long"": 10617, ""short"": 12117}","{""flat"": 30929, ""long"": 10569, ""short"": 12056}",common_key_decision_match,wave03_bounded_synthesis_mix2_l4_pair_kpi_parity_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve
onnxlab_wave03_mix2_cell_002_tradeability_gate_longer_horizon_v0,attempt_wave03_mix2_cell_002_l4_research_oos_v0,wave03_mix2_cell_002,bundle_wave03_mix2_cell_002_l4_onnx_export_v0,research_oos,lab/runs/onnxlab_wave03_mix2_cell_002_tradeability_gate_longer_horizon_v0/artifacts/proxy_decision_stream_research_oos_a.csv,runtime/mt5_attempts/attempt_wave03_mix2_cell_002_l4_research_oos_v0/telemetry/score_telemetry.csv,45545,45281,45280,45280,0,265,1,1.79613917073e-07,"{""flat"": 25978, ""long"": 9035, ""short"": 10532}","{""flat"": 25772, ""long"": 9009, ""short"": 10500}",common_key_decision_match,wave03_bounded_synthesis_mix2_l4_pair_kpi_parity_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve
onnxlab_wave03_mix2_cell_003_adverse_move_abstain_control_v0,attempt_wave03_mix2_cell_003_l4_validation_v0,wave03_mix2_cell_003,bundle_wave03_mix2_cell_003_l4_onnx_export_v0,validation,lab/runs/onnxlab_wave03_mix2_cell_003_adverse_move_abstain_control_v0/artifacts/proxy_decision_stream_validation.csv,runtime/mt5_attempts/attempt_wave03_mix2_cell_003_l4_validation_v0/telemetry/score_telemetry.csv,27658,53554,27519,27519,0,139,26035,9.29620214141e-08,"{""flat"": 16088, ""long"": 5866, ""short"": 5704}","{""flat"": 24808, ""long"": 22879, ""short"": 5867}",common_key_decision_match,wave03_bounded_synthesis_mix2_l4_pair_kpi_parity_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve
onnxlab_wave03_mix2_cell_003_adverse_move_abstain_control_v0,attempt_wave03_mix2_cell_003_l4_research_oos_v0,wave03_mix2_cell_003,bundle_wave03_mix2_cell_003_l4_onnx_export_v0,research_oos,lab/runs/onnxlab_wave03_mix2_cell_003_adverse_move_abstain_control_v0/artifacts/proxy_decision_stream_research_oos_a.csv,runtime/mt5_attempts/attempt_wave03_mix2_cell_003_l4_research_oos_v0/telemetry/score_telemetry.csv,23359,45281,23214,23214,0,145,22067,1.18232547808e-07,"{""flat"": 13602, ""long"": 5149, ""short"": 4608}","{""flat"": 20965, ""long"": 19482, ""short"": 4834}",common_key_decision_match,wave03_bounded_synthesis_mix2_l4_pair_kpi_parity_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve
onnxlab_wave03_mix2_cell_004_drawdown_rebound_abstain_control_v0,attempt_wave03_mix2_cell_004_l4_validation_v0,wave03_mix2_cell_004,bundle_wave03_mix2_cell_004_l4_onnx_export_v0,validation,lab/runs/onnxlab_wave03_mix2_cell_004_drawdown_rebound_abstain_control_v0/artifacts/proxy_decision_stream_validation.csv,runtime/mt5_attempts/attempt_wave03_mix2_cell_004_l4_validation_v0/telemetry/score_telemetry.csv,27656,53554,27519,27519,0,137,26035,1.15592489469e-07,"{""flat"": 16474, ""long"": 5637, ""short"": 5545}","{""flat"": 26221, ""long"": 21746, ""short"": 5587}",common_key_decision_match,wave03_bounded_synthesis_mix2_l4_pair_kpi_parity_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve
onnxlab_wave03_mix2_cell_004_drawdown_rebound_abstain_control_v0,attempt_wave03_mix2_cell_004_l4_research_oos_v0,wave03_mix2_cell_004,bundle_wave03_mix2_cell_004_l4_onnx_export_v0,research_oos,lab/runs/onnxlab_wave03_mix2_cell_004_drawdown_rebound_abstain_control_v0/artifacts/proxy_decision_stream_research_oos_a.csv,runtime/mt5_attempts/attempt_wave03_mix2_cell_004_l4_research_oos_v0/telemetry/score_telemetry.csv,23359,45281,23214,23214,0,145,22067,1.32220662252e-07,"{""flat"": 14784, ""long"": 4809, ""short"": 3766}","{""flat"": 23602, ""long"": 17864, ""short"": 3815}",common_key_decision_match,wave03_bounded_synthesis_mix2_l4_pair_kpi_parity_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve
onnxlab_wave03_mix2_cell_005_low_vol_false_break_filter_v0,attempt_wave03_mix2_cell_005_l4_validation_v0,wave03_mix2_cell_005,bundle_wave03_mix2_cell_005_l4_onnx_export_v0,validation,lab/runs/onnxlab_wave03_mix2_cell_005_low_vol_false_break_filter_v0/artifacts/proxy_decision_stream_validation.csv,runtime/mt5_attempts/attempt_wave03_mix2_cell_005_l4_validation_v0/telemetry/score_telemetry.csv,21365,53554,21298,21298,0,67,32256,6.91070720649e-08,"{""flat"": 13762, ""long"": 3788, ""short"": 3815}","{""flat"": 28027, ""long"": 8391, ""short"": 17136}",common_key_decision_match,wave03_bounded_synthesis_mix2_l4_pair_kpi_parity_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve
onnxlab_wave03_mix2_cell_005_low_vol_false_break_filter_v0,attempt_wave03_mix2_cell_005_l4_research_oos_v0,wave03_mix2_cell_005,bundle_wave03_mix2_cell_005_l4_onnx_export_v0,research_oos,lab/runs/onnxlab_wave03_mix2_cell_005_low_vol_false_break_filter_v0/artifacts/proxy_decision_stream_research_oos_a.csv,runtime/mt5_attempts/attempt_wave03_mix2_cell_005_l4_research_oos_v0/telemetry/score_telemetry.csv,18034,45281,18034,18034,0,0,27247,1.24887422792e-07,"{""flat"": 11940, ""long"": 3123, ""short"": 2971}","{""flat"": 23929, ""long"": 7340, ""short"": 14012}",common_key_decision_match,wave03_bounded_synthesis_mix2_l4_pair_kpi_parity_observation_only_no_runtime_authority_no_economics_pass_no_candidate_no_selected_baseline_no_live_readiness_no_goal_achieve
