run_id,run_spec_id,cell_id,bundle_id,status,result_judgment,model_family,task_kind,decision_family,session_anchor,feature_count,bundle_manifest_path,bundle_manifest_sha256,onnx_path,onnx_sha256,onnx_size_bytes,onnx_adapter_ids,parity_status,parity_max_abs_error,parity_mean_abs_error,parity_sample_rows,l4_status,claim_boundary
onnxlab_wave01_st_cell_001_session_transition_surface_v0,wave01_st_cell_001,wave01_st_cell_001,bundle_wave01_st_cell_001_l4_onnx_export_v0,onnx_exported_python_onnxruntime_parity_passed,inconclusive,logistic_or_linear_rank_scout,classification,cash_open_abstain_timeout_exit,ny_cash_open,43,runtime/packages/bundle_wave01_st_cell_001_l4_onnx_export_v0/experiment_bundle.json,941bc8317e964090926d31863a3ca2e1737937e4b15a9b4932caf3d4b5f16545,runtime/packages/bundle_wave01_st_cell_001_l4_onnx_export_v0/artifacts/model.onnx,317cb60bc59a2b103ed03d9bfbdd832f0f55f29846d49203170eddd84c5e8625,1744,onnx_single_score_output_v0,passed,4.440780176917514e-08,1.26332553673867e-08,512,pending_strategy_tester_attempt_preparation,wave01_session_transition_onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave01_st_cell_002_session_transition_surface_v0,wave01_st_cell_002,wave01_st_cell_002,bundle_wave01_st_cell_002_l4_onnx_export_v0,onnx_exported_python_onnxruntime_parity_passed,preserved_clue,tree_or_boosted_onnx_feasible_scout,classification,compression_release_abstain_barrier_exit,pre_to_cash_transition,74,runtime/packages/bundle_wave01_st_cell_002_l4_onnx_export_v0/experiment_bundle.json,fd73d7e4da27c8391ad6e4fbc5ab6220432e519e86b2eda14731565b63949281,runtime/packages/bundle_wave01_st_cell_002_l4_onnx_export_v0/artifacts/model.onnx,50fdf9af824adb3a8cf9a1699e051102a4c8e1cde1840f483ff3ff19e3a3abce,75499,skl2onnx_hgb_numpy_scalar_cast_v0|onnx_single_score_output_v0,passed,8.677440632709477e-08,3.3869533884326244e-08,512,pending_strategy_tester_attempt_preparation,wave01_session_transition_onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave01_st_cell_003_session_transition_surface_v0,wave01_st_cell_003,wave01_st_cell_003,bundle_wave01_st_cell_003_l4_onnx_export_v0,onnx_exported_python_onnxruntime_parity_passed,preserved_clue,logistic_or_linear_rank_scout,classification,failed_breakout_reversion_abstain_exit,ny_cash_open,97,runtime/packages/bundle_wave01_st_cell_003_l4_onnx_export_v0/experiment_bundle.json,06167c41e4de5d43c1c2fd1a6b0e1a08ef1cc55b895ab41131e7cd6ffa80c9be,runtime/packages/bundle_wave01_st_cell_003_l4_onnx_export_v0/artifacts/model.onnx,895c84bbae65f6353fd46cc8e9bf9c348e832ab262dd20d928b63b5566ac6bdc,3094,onnx_single_score_output_v0,passed,1.0425395946533911e-07,2.543364142177599e-08,512,pending_strategy_tester_attempt_preparation,wave01_session_transition_onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave01_st_cell_004_session_transition_surface_v0,wave01_st_cell_004,wave01_st_cell_004,bundle_wave01_st_cell_004_l4_onnx_export_v0,onnx_exported_python_onnxruntime_parity_passed,negative,tree_or_boosted_onnx_feasible_scout,classification,explicit_no_trade_gate,ny_mid_session,43,runtime/packages/bundle_wave01_st_cell_004_l4_onnx_export_v0/experiment_bundle.json,097fecf74c814cccb90f7d9fed88a804abc941db0c8b5b13a2d049565b8ae3d0,runtime/packages/bundle_wave01_st_cell_004_l4_onnx_export_v0/artifacts/model.onnx,9546a6d7d51a665203715f22bdaf8cb02101ba629cb1b830bfaf280fade76038,12129,skl2onnx_hgb_numpy_scalar_cast_v0|onnx_single_score_output_v0,passed,7.269131258686931e-08,4.951592885159674e-08,512,pending_strategy_tester_attempt_preparation,wave01_session_transition_onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave01_st_cell_005_session_transition_surface_v0,wave01_st_cell_005,wave01_st_cell_005,bundle_wave01_st_cell_005_l4_onnx_export_v0,onnx_exported_python_onnxruntime_parity_passed,inconclusive,logistic_or_linear_rank_scout,classification,cash_close_abstain_timeout_exit,ny_cash_close,43,runtime/packages/bundle_wave01_st_cell_005_l4_onnx_export_v0/experiment_bundle.json,88ac081027195dc2484b89a08763a15d02d3d908abb7fc45864b840ef2d641f5,runtime/packages/bundle_wave01_st_cell_005_l4_onnx_export_v0/artifacts/model.onnx,de9f4c069c49701b5c72acb97f54f75ccd5b65808e72c6e03d3e00c7bb227a1d,1744,onnx_single_score_output_v0,passed,7.422444892046798e-08,1.5948096018488303e-08,512,pending_strategy_tester_attempt_preparation,wave01_session_transition_onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave01_st_cell_006_session_transition_surface_v0,wave01_st_cell_006,wave01_st_cell_006,bundle_wave01_st_cell_006_l4_onnx_export_v0,onnx_exported_python_onnxruntime_parity_passed,preserved_clue,small_mlp_secondary_only,classification,diagnostic_tradeability_abstain,overnight_to_pre_cash,97,runtime/packages/bundle_wave01_st_cell_006_l4_onnx_export_v0/experiment_bundle.json,3200b0a5b0f2752fcee4e3374bf76c1b5061d51f5db8866cbc245a3f2d2f7421,runtime/packages/bundle_wave01_st_cell_006_l4_onnx_export_v0/artifacts/model.onnx,3f3c625d5f0f81b2ecc4f1cb9e8a94a3aa808ed7baf4d19b31d88a6bc0fa7197,9268,onnx_single_score_output_v0,passed,1.7881393432617188e-07,3.818422555923462e-08,512,pending_strategy_tester_attempt_preparation,wave01_session_transition_onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave01_st_cell_007_session_transition_surface_v0,wave01_st_cell_007,wave01_st_cell_007,bundle_wave01_st_cell_007_l4_onnx_export_v0,onnx_exported_python_onnxruntime_parity_passed,inconclusive,logistic_or_linear_rank_scout,classification,session_blind_abstain_timeout_exit,none_session_blind_control,44,runtime/packages/bundle_wave01_st_cell_007_l4_onnx_export_v0/experiment_bundle.json,cd0991226ffa749ee92492f61a7f4e9b6d024a97550ee6f9b345fd14e8037f84,runtime/packages/bundle_wave01_st_cell_007_l4_onnx_export_v0/artifacts/model.onnx,f929f189ab0ac66de277e62c8f39480aaddc776068efe474a9464c5f723cbdd9,1769,onnx_single_score_output_v0,passed,8.233757742281966e-08,2.0999444099952837e-08,512,pending_strategy_tester_attempt_preparation,wave01_session_transition_onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave01_st_cell_008_session_transition_surface_v0,wave01_st_cell_008,wave01_st_cell_008,bundle_wave01_st_cell_008_l4_onnx_export_v0,onnx_exported_python_onnxruntime_parity_passed,negative,logistic_or_linear_rank_scout,classification,fast_event_abstain_timeout_exit,active_cash_transition,43,runtime/packages/bundle_wave01_st_cell_008_l4_onnx_export_v0/experiment_bundle.json,aafb6f12372efe838a8126ad448dc370dfea4ed3f15d9488328938a5a5533678,runtime/packages/bundle_wave01_st_cell_008_l4_onnx_export_v0/artifacts/model.onnx,3c69c670150d6b14405ac870935aa67aa41594cc8953bb37a17326aaf834e166,1744,onnx_single_score_output_v0,passed,1.365285124954596e-07,2.1303718997548425e-08,512,pending_strategy_tester_attempt_preparation,wave01_session_transition_onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave01_st_cell_009_session_transition_surface_v0,wave01_st_cell_009,wave01_st_cell_009,bundle_wave01_st_cell_009_l4_onnx_export_v0,onnx_exported_python_onnxruntime_parity_passed,preserved_clue,tree_or_boosted_onnx_feasible_scout,classification,range_acceptance_abstain_timeout_exit,post_cash_open,97,runtime/packages/bundle_wave01_st_cell_009_l4_onnx_export_v0/experiment_bundle.json,31d77c794b47f74bf3d4da3d2116352892d5d5a7f6ebae97222ad1ba30d6ec35,runtime/packages/bundle_wave01_st_cell_009_l4_onnx_export_v0/artifacts/model.onnx,e5560efe3bfd4008e2ef13de7a690cf82b1670b29caeb0198a4d579f128ffad2,75614,skl2onnx_hgb_numpy_scalar_cast_v0|onnx_single_score_output_v0,passed,8.99827902189898e-08,2.5026987308398273e-08,512,pending_strategy_tester_attempt_preparation,wave01_session_transition_onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave01_st_cell_010_session_transition_surface_v0,wave01_st_cell_010,wave01_st_cell_010,bundle_wave01_st_cell_010_l4_onnx_export_v0,onnx_exported_python_onnxruntime_parity_passed,preserved_clue,logistic_or_linear_rank_scout,classification,volatility_decay_no_trade_or_tradeability_gate,any_major_transition,74,runtime/packages/bundle_wave01_st_cell_010_l4_onnx_export_v0/experiment_bundle.json,c079c8abea910038001a487ccdd3424a57f92bacf91cf6d29c9a5435b0f35628,runtime/packages/bundle_wave01_st_cell_010_l4_onnx_export_v0/artifacts/model.onnx,00917b08ace4aa0365a069654ee29a771db77ddcb831489e9accc6c6a47e3673,2519,onnx_single_score_output_v0,passed,1.6492919975297227e-06,2.3943559937602608e-08,512,pending_strategy_tester_attempt_preparation,wave01_session_transition_onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_candidate_no_baseline
