cell_id,run_id,bundle_id,validation_attempt_id,research_oos_attempt_id,validation_telemetry_observed,research_oos_telemetry_observed,both_period_roles_observed,nonempty_telemetry_pair,validation_row_count,research_oos_row_count,validation_score_mean,research_oos_score_mean,validation_score_min,validation_score_max,research_oos_score_min,research_oos_score_max,validation_decision_counts,research_oos_decision_counts,decision_family,decision_mapping_status,proxy_judgment,proxy_validation_metric_key,proxy_validation_metric,comparison_class,standard_l4_completion,result_judgment,l5_routing_status,claim_boundary,next_action
wave01_st_cell_001,onnxlab_wave01_st_cell_001_session_transition_surface_v0,bundle_wave01_st_cell_001_l4_onnx_export_v0,attempt_wave01_st_cell_001_l4_validation_v0,attempt_wave01_st_cell_001_l4_research_oos_v0,true,true,true,true,53554,45281,0.10373755969992157,0.10259061599645326,0.0,0.614362359,0.0,0.8395495415,"{""unknown"": 53554}","{""unknown"": 45281}",cash_open_abstain_timeout_exit,unknown_in_score_probe,inconclusive,,,proxy_inconclusive_runtime_score_observed,incomplete_tester_report_missing,runtime_probe,no_l5_score_probe_only,wave01_session_transition_l4_pair_score_observation_judgment_only_no_runtime_authority_no_economics_pass_no_candidate,record L4 score observation and rotate unless a new decision-execution surface is opened
wave01_st_cell_002,onnxlab_wave01_st_cell_002_session_transition_surface_v0,bundle_wave01_st_cell_002_l4_onnx_export_v0,attempt_wave01_st_cell_002_l4_validation_v0,attempt_wave01_st_cell_002_l4_research_oos_v0,true,true,true,true,53554,45281,0.9967300986713,0.9963953663831144,0.4927511811,0.9996818304,0.3449353576,0.9996818304,"{""unknown"": 53554}","{""unknown"": 45281}",compression_release_abstain_barrier_exit,unknown_in_score_probe,preserved_clue,,,proxy_preserved_clue_runtime_score_observed,incomplete_tester_report_missing,runtime_probe,no_l5_yet_preserved_clue_requires_decision_execution_adapter,wave01_session_transition_l4_pair_score_observation_judgment_only_no_runtime_authority_no_economics_pass_no_candidate,prepare a bounded Wave01 decision/trading execution adapter for preserved clues before any L5 candidate claim
wave01_st_cell_003,onnxlab_wave01_st_cell_003_session_transition_surface_v0,bundle_wave01_st_cell_003_l4_onnx_export_v0,attempt_wave01_st_cell_003_l4_validation_v0,attempt_wave01_st_cell_003_l4_research_oos_v0,true,true,true,true,53554,45281,0.07100468356478508,0.07133646013957509,0.0,0.7972958088,0.0,0.9235594273,"{""unknown"": 53554}","{""unknown"": 45281}",failed_breakout_reversion_abstain_exit,unknown_in_score_probe,preserved_clue,,,proxy_preserved_clue_runtime_score_observed,incomplete_tester_report_missing,runtime_probe,no_l5_yet_preserved_clue_requires_decision_execution_adapter,wave01_session_transition_l4_pair_score_observation_judgment_only_no_runtime_authority_no_economics_pass_no_candidate,prepare a bounded Wave01 decision/trading execution adapter for preserved clues before any L5 candidate claim
wave01_st_cell_004,onnxlab_wave01_st_cell_004_session_transition_surface_v0,bundle_wave01_st_cell_004_l4_onnx_export_v0,attempt_wave01_st_cell_004_l4_validation_v0,attempt_wave01_st_cell_004_l4_research_oos_v0,true,true,true,true,53554,45281,0.0006558926228759757,0.0007532808401559153,0.0003157854,0.1617434025,0.0003157854,0.2465288639,"{""unknown"": 53554}","{""unknown"": 45281}",explicit_no_trade_gate,unknown_in_score_probe,negative,,,proxy_negative_runtime_score_observed,incomplete_tester_report_missing,runtime_probe,no_l5_score_probe_only,wave01_session_transition_l4_pair_score_observation_judgment_only_no_runtime_authority_no_economics_pass_no_candidate,record L4 score observation and rotate unless a new decision-execution surface is opened
wave01_st_cell_005,onnxlab_wave01_st_cell_005_session_transition_surface_v0,bundle_wave01_st_cell_005_l4_onnx_export_v0,attempt_wave01_st_cell_005_l4_validation_v0,attempt_wave01_st_cell_005_l4_research_oos_v0,true,true,true,true,53554,45281,0.07806125111122046,0.0793933230895497,0.0,0.6754290462,0.0,0.6895301342,"{""unknown"": 53554}","{""unknown"": 45281}",cash_close_abstain_timeout_exit,unknown_in_score_probe,inconclusive,,,proxy_inconclusive_runtime_score_observed,incomplete_tester_report_missing,runtime_probe,no_l5_score_probe_only,wave01_session_transition_l4_pair_score_observation_judgment_only_no_runtime_authority_no_economics_pass_no_candidate,record L4 score observation and rotate unless a new decision-execution surface is opened
wave01_st_cell_006,onnxlab_wave01_st_cell_006_session_transition_surface_v0,bundle_wave01_st_cell_006_l4_onnx_export_v0,attempt_wave01_st_cell_006_l4_validation_v0,attempt_wave01_st_cell_006_l4_research_oos_v0,true,true,true,true,53554,45281,0.893543299086227,0.8968008386228087,0.1308184266,1.0,0.0078881979,1.0,"{""unknown"": 53554}","{""unknown"": 45281}",diagnostic_tradeability_abstain,unknown_in_score_probe,preserved_clue,,,proxy_preserved_clue_runtime_score_observed,incomplete_tester_report_missing,runtime_probe,no_l5_yet_preserved_clue_requires_decision_execution_adapter,wave01_session_transition_l4_pair_score_observation_judgment_only_no_runtime_authority_no_economics_pass_no_candidate,prepare a bounded Wave01 decision/trading execution adapter for preserved clues before any L5 candidate claim
wave01_st_cell_007,onnxlab_wave01_st_cell_007_session_transition_surface_v0,bundle_wave01_st_cell_007_l4_onnx_export_v0,attempt_wave01_st_cell_007_l4_validation_v0,attempt_wave01_st_cell_007_l4_research_oos_v0,true,true,true,true,53554,45281,0.5058069519564103,0.5042429699796206,0.3351743817,0.8938412666,0.1085827053,0.9184389114,"{""unknown"": 53554}","{""unknown"": 45281}",session_blind_abstain_timeout_exit,unknown_in_score_probe,inconclusive,,,proxy_inconclusive_runtime_score_observed,incomplete_tester_report_missing,runtime_probe,no_l5_score_probe_only,wave01_session_transition_l4_pair_score_observation_judgment_only_no_runtime_authority_no_economics_pass_no_candidate,record L4 score observation and rotate unless a new decision-execution surface is opened
wave01_st_cell_008,onnxlab_wave01_st_cell_008_session_transition_surface_v0,bundle_wave01_st_cell_008_l4_onnx_export_v0,attempt_wave01_st_cell_008_l4_validation_v0,attempt_wave01_st_cell_008_l4_research_oos_v0,true,true,true,true,53554,45281,0.04423237601981738,0.04370571476761335,0.0,0.9622517824,0.0,0.8869594336,"{""unknown"": 53554}","{""unknown"": 45281}",fast_event_abstain_timeout_exit,unknown_in_score_probe,negative,,,proxy_negative_runtime_score_observed,incomplete_tester_report_missing,runtime_probe,no_l5_score_probe_only,wave01_session_transition_l4_pair_score_observation_judgment_only_no_runtime_authority_no_economics_pass_no_candidate,record L4 score observation and rotate unless a new decision-execution surface is opened
wave01_st_cell_009,onnxlab_wave01_st_cell_009_session_transition_surface_v0,bundle_wave01_st_cell_009_l4_onnx_export_v0,attempt_wave01_st_cell_009_l4_validation_v0,attempt_wave01_st_cell_009_l4_research_oos_v0,true,true,true,true,53554,45281,0.3553180259334074,0.3697762120508757,0.0988464355,0.7243545055,0.0965540409,0.7884405255,"{""unknown"": 53554}","{""unknown"": 45281}",range_acceptance_abstain_timeout_exit,unknown_in_score_probe,preserved_clue,,,proxy_preserved_clue_runtime_score_observed,incomplete_tester_report_missing,runtime_probe,no_l5_yet_preserved_clue_requires_decision_execution_adapter,wave01_session_transition_l4_pair_score_observation_judgment_only_no_runtime_authority_no_economics_pass_no_candidate,prepare a bounded Wave01 decision/trading execution adapter for preserved clues before any L5 candidate claim
wave01_st_cell_010,onnxlab_wave01_st_cell_010_session_transition_surface_v0,bundle_wave01_st_cell_010_l4_onnx_export_v0,attempt_wave01_st_cell_010_l4_validation_v0,attempt_wave01_st_cell_010_l4_research_oos_v0,true,true,true,true,53554,45281,0.008494264024420212,0.005134049149524083,0.0,0.9999986887,0.0,1.0,"{""unknown"": 53554}","{""unknown"": 45281}",volatility_decay_no_trade_or_tradeability_gate,unknown_in_score_probe,preserved_clue,,,proxy_preserved_clue_runtime_score_observed,incomplete_tester_report_missing,runtime_probe,no_l5_yet_preserved_clue_requires_decision_execution_adapter,wave01_session_transition_l4_pair_score_observation_judgment_only_no_runtime_authority_no_economics_pass_no_candidate,prepare a bounded Wave01 decision/trading execution adapter for preserved clues before any L5 candidate claim
