run_id,run_spec_id,cell_id,bundle_id,status,result_judgment,model_family,task_kind,decision_family,barrier_unit,feature_count,bundle_manifest_path,bundle_manifest_sha256,onnx_path,onnx_sha256,onnx_size_bytes,onnx_adapter_ids,parity_status,parity_max_abs_error,parity_mean_abs_error,parity_sample_rows,l4_status,claim_boundary
onnxlab_wave01_eb_cell_001_event_barrier_surface_v0,wave01_eb_cell_001,wave01_eb_cell_001,bundle_wave01_eb_cell_001_l4_onnx_export_v0,onnx_exported_python_onnxruntime_parity_passed,inconclusive,logistic_or_linear_rank_scout,classification,abstain_band_with_barrier_exit,atr_multiplier,17,runtime/packages/bundle_wave01_eb_cell_001_l4_onnx_export_v0/experiment_bundle.json,9932e09c005acd0898dbba22cc79da5258a004940d499b1070a194e071a17641,runtime/packages/bundle_wave01_eb_cell_001_l4_onnx_export_v0/artifacts/model.onnx,71b176f946562f26ed4af1b1f7fb25fccee292409e2f210847e5df9a009507b3,1091,onnx_single_score_output_v0,passed,3.260397674065274e-08,8.742300222283617e-09,512,pending_strategy_tester_attempt_preparation,wave01_event_barrier_onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave01_eb_cell_002_event_barrier_surface_v0,wave01_eb_cell_002,wave01_eb_cell_002,bundle_wave01_eb_cell_002_l4_onnx_export_v0,onnx_exported_python_onnxruntime_parity_passed,preserved_clue,tree_or_boosted_onnx_feasible_scout,classification,breakout_entry_abstain_timeout_exit,atr_multiplier,47,runtime/packages/bundle_wave01_eb_cell_002_l4_onnx_export_v0/experiment_bundle.json,18b09c63afebee53617ea4816497d6b27ea4d4aefa89f8440b8966f2902738b0,runtime/packages/bundle_wave01_eb_cell_002_l4_onnx_export_v0/artifacts/model.onnx,816d8b868904172106e6aabeceba14682c1ec466d420bf5f2531ce3441bb819a,75364,skl2onnx_hgb_numpy_scalar_cast_v0|onnx_single_score_output_v0,passed,8.822505442873663e-08,2.2937556393111055e-08,512,pending_strategy_tester_attempt_preparation,wave01_event_barrier_onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave01_eb_cell_003_event_barrier_surface_v0,wave01_eb_cell_003,wave01_eb_cell_003,bundle_wave01_eb_cell_003_l4_onnx_export_v0,onnx_exported_python_onnxruntime_parity_passed,inconclusive,logistic_or_linear_rank_scout,regression,direction_agnostic_tradeability_abstain,price_range_ratio,70,runtime/packages/bundle_wave01_eb_cell_003_l4_onnx_export_v0/experiment_bundle.json,6703914f684d921334444262afd4a9842b7a3a5d32b88513393fdcc29bd834ba,runtime/packages/bundle_wave01_eb_cell_003_l4_onnx_export_v0/artifacts/model.onnx,c80c83aa2f6a665d3547a3912af3e26707e453b84d2c86e13d1b9a06a7317f70,1984,onnx_single_score_output_v0,passed,1.7285346984863281e-06,4.595494829118252e-07,512,pending_strategy_tester_attempt_preparation,wave01_event_barrier_onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave01_eb_cell_004_event_barrier_surface_v0,wave01_eb_cell_004,wave01_eb_cell_004,bundle_wave01_eb_cell_004_l4_onnx_export_v0,onnx_exported_python_onnxruntime_parity_passed,preserved_clue,logistic_or_linear_rank_scout,classification,no_trade_vs_fast_event_abstain,atr_multiplier,16,runtime/packages/bundle_wave01_eb_cell_004_l4_onnx_export_v0/experiment_bundle.json,669dd929653d10a09d89e40027cdb9ef93a2bb5f395491cb27989a460b9e705e,runtime/packages/bundle_wave01_eb_cell_004_l4_onnx_export_v0/artifacts/model.onnx,e430adab5f597f0735396ef55782a45b61e54b9821afdb23a1f7f3070dd3f6ac,1066,onnx_single_score_output_v0,passed,1.5612259773867265e-07,2.892848195338908e-08,512,pending_strategy_tester_attempt_preparation,wave01_event_barrier_onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave01_eb_cell_005_event_barrier_surface_v0,wave01_eb_cell_005,wave01_eb_cell_005,bundle_wave01_eb_cell_005_l4_onnx_export_v0,onnx_exported_python_onnxruntime_parity_passed,inconclusive,logistic_or_linear_rank_scout,classification,reversal_entry_abstain_timeout_exit,atr_multiplier,17,runtime/packages/bundle_wave01_eb_cell_005_l4_onnx_export_v0/experiment_bundle.json,68cc5c229c86e01ae2d2eb340434d4619d22c046fa86d6ed2e2f624f579768ea,runtime/packages/bundle_wave01_eb_cell_005_l4_onnx_export_v0/artifacts/model.onnx,d4c224768123ae828be61fef25ea98ac826f6762b9c25b38dcef95cd0a554d08,1091,onnx_single_score_output_v0,passed,3.493310285485052e-08,1.4251751964764608e-08,512,pending_strategy_tester_attempt_preparation,wave01_event_barrier_onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave01_eb_cell_006_event_barrier_surface_v0,wave01_eb_cell_006,wave01_eb_cell_006,bundle_wave01_eb_cell_006_l4_onnx_export_v0,onnx_exported_python_onnxruntime_parity_passed,preserved_clue,tree_or_boosted_onnx_feasible_scout,classification,sparse_event_abstain_barrier_exit,atr_multiplier,70,runtime/packages/bundle_wave01_eb_cell_006_l4_onnx_export_v0/experiment_bundle.json,b5d30b052ce7421c39790e97c15882efd99970e6dfff99ab5bcc800b33c1c955,runtime/packages/bundle_wave01_eb_cell_006_l4_onnx_export_v0/artifacts/model.onnx,2937df44029897186023e503d51e1d9330e9299ffdcdffb191ece12f5f179d2d,75479,skl2onnx_hgb_numpy_scalar_cast_v0|onnx_single_score_output_v0,passed,2.3651989594641876e-07,3.364509288934867e-08,512,pending_strategy_tester_attempt_preparation,wave01_event_barrier_onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave01_eb_cell_007_event_barrier_surface_v0,wave01_eb_cell_007,wave01_eb_cell_007,bundle_wave01_eb_cell_007_l4_onnx_export_v0,onnx_exported_python_onnxruntime_parity_passed,preserved_clue,logistic_or_linear_rank_scout,regression,fast_event_abstain_timeout_exit,atr_multiplier,17,runtime/packages/bundle_wave01_eb_cell_007_l4_onnx_export_v0/experiment_bundle.json,e941c4d4f9743600a19b53988b482b8ddee0ab1581f4fb363e09aa305cfd99ce,runtime/packages/bundle_wave01_eb_cell_007_l4_onnx_export_v0/artifacts/model.onnx,f8fb31a70df22c67fc26910df4572da335e11e346c2ce04385b8c4a356724b4e,920,onnx_single_score_output_v0,passed,2.384185791015625e-07,2.578599378466606e-08,512,pending_strategy_tester_attempt_preparation,wave01_event_barrier_onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave01_eb_cell_008_event_barrier_surface_v0,wave01_eb_cell_008,wave01_eb_cell_008,bundle_wave01_eb_cell_008_l4_onnx_export_v0,onnx_exported_python_onnxruntime_parity_passed,preserved_clue,logistic_or_linear_rank_scout,classification,session_gated_abstain_barrier_exit,atr_multiplier,16,runtime/packages/bundle_wave01_eb_cell_008_l4_onnx_export_v0/experiment_bundle.json,d9552e26b90f00cca35c49a55a99ac64d48973284cd9c9be0449799a47bef98c,runtime/packages/bundle_wave01_eb_cell_008_l4_onnx_export_v0/artifacts/model.onnx,b02c7b83d8c69e3e4671559cbe94fc240d4469cdee168da2108b36416f25b361,1066,onnx_single_score_output_v0,passed,1.1445247699581884e-07,3.176685444227878e-08,512,pending_strategy_tester_attempt_preparation,wave01_event_barrier_onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave01_eb_cell_009_event_barrier_surface_v0,wave01_eb_cell_009,wave01_eb_cell_009,bundle_wave01_eb_cell_009_l4_onnx_export_v0,onnx_exported_python_onnxruntime_parity_passed,preserved_clue,tree_or_boosted_onnx_feasible_scout,classification,no_trade_regime_filter,atr_multiplier,70,runtime/packages/bundle_wave01_eb_cell_009_l4_onnx_export_v0/experiment_bundle.json,ee1bfad51cc2822c12e157e04e50e67357cc62796db0db3a58a80106d6eaa573,runtime/packages/bundle_wave01_eb_cell_009_l4_onnx_export_v0/artifacts/model.onnx,28ca116571a0126d21b0b2d78e6ba317297988b933f658945c0d3f1f62d4b211,75479,skl2onnx_hgb_numpy_scalar_cast_v0|onnx_single_score_output_v0,passed,1.0638787151240336e-07,3.092931599034301e-08,512,pending_strategy_tester_attempt_preparation,wave01_event_barrier_onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_candidate_no_baseline
onnxlab_wave01_eb_cell_010_event_barrier_surface_v0,wave01_eb_cell_010,wave01_eb_cell_010,bundle_wave01_eb_cell_010_l4_onnx_export_v0,onnx_exported_python_onnxruntime_parity_passed,inconclusive,logistic_or_linear_rank_scout,classification,mean_reversion_abstain_barrier_exit,atr_multiplier,47,runtime/packages/bundle_wave01_eb_cell_010_l4_onnx_export_v0/experiment_bundle.json,b282318bb533b69d7c7b008b4080b86e6b9d03fe710d248200b68f65f946f8c9,runtime/packages/bundle_wave01_eb_cell_010_l4_onnx_export_v0/artifacts/model.onnx,4c04fef1be6025ca21baa11f480a7a256e1a4aee8a5420ec8c2d3d73cc28b220,1844,onnx_single_score_output_v0,passed,8.795139871953239e-08,1.796111687027771e-08,512,pending_strategy_tester_attempt_preparation,wave01_event_barrier_onnx_bundle_preflight_python_parity_only_no_runtime_authority_no_candidate_no_baseline
