mt5_date,bar_count,expected_full_day_bars,session_status,is_first_copied_day,is_last_copied_day,first_bar_mt5,last_bar_mt5,first_hhmm_mt5,last_hhmm_mt5,internal_gap_count,max_gap_seconds,first_gap_from_mt5,first_gap_to_mt5,duplicate_count,spread_min_points,spread_max_points,spread_avg_points,spread_zero_count,tick_volume_sum,real_volume_sum,zero_tick_volume_count,zero_real_volume_count
2018.05.07,273,276,gap_or_missing_candidate,1,0,2018.05.07 01:00:00,2018.05.07 23:55:00,01:00,23:55,1,1200,2018.05.07 23:10:00,2018.05.07 23:30:00,0,0,190,136.41,1,162972,0,0,273
2018.05.08,273,276,gap_or_missing_candidate,0,0,2018.05.08 01:00:00,2018.05.08 23:55:00,01:00,23:55,1,1200,2018.05.08 23:10:00,2018.05.08 23:30:00,0,0,160,129.67,6,178861,0,0,273
2018.05.09,273,276,gap_or_missing_candidate,0,0,2018.05.09 01:00:00,2018.05.09 23:55:00,01:00,23:55,1,1200,2018.05.09 23:10:00,2018.05.09 23:30:00,0,0,160,139.93,3,155853,0,0,273
2018.05.10,266,276,gap_or_missing_candidate,0,0,2018.05.10 01:00:00,2018.05.10 23:55:00,01:00,23:55,3,2100,2018.05.10 16:20:00,2018.05.10 16:55:00,0,0,160,142.59,4,125104,0,0,266
2018.05.11,267,276,early_close_candidate,0,0,2018.05.11 01:00:00,2018.05.11 23:10:00,01:00,23:10,0,0,,,0,0,160,139.10,6,144004,0,0,267
2018.05.14,273,276,gap_or_missing_candidate,0,0,2018.05.14 01:00:00,2018.05.14 23:55:00,01:00,23:55,1,1200,2018.05.14 23:10:00,2018.05.14 23:30:00,0,0,160,142.20,1,130819,0,0,273
2018.05.15,273,276,gap_or_missing_candidate,0,0,2018.05.15 01:00:00,2018.05.15 23:55:00,01:00,23:55,1,1200,2018.05.15 23:10:00,2018.05.15 23:30:00,0,0,170,131.72,10,168783,0,0,273
2018.05.16,273,276,gap_or_missing_candidate,0,0,2018.05.16 01:00:00,2018.05.16 23:55:00,01:00,23:55,1,1200,2018.05.16 23:10:00,2018.05.16 23:30:00,0,0,160,142.89,3,146149,0,0,273
2018.05.17,273,276,gap_or_missing_candidate,0,0,2018.05.17 01:00:00,2018.05.17 23:55:00,01:00,23:55,1,1200,2018.05.17 23:10:00,2018.05.17 23:30:00,0,0,170,140.81,2,146701,0,0,273
2018.05.18,267,276,early_close_candidate,0,0,2018.05.18 01:00:00,2018.05.18 23:10:00,01:00,23:10,0,0,,,0,0,160,137.38,4,150494,0,0,267
2018.05.21,256,276,gap_or_missing_candidate,0,0,2018.05.21 02:25:00,2018.05.21 23:55:00,02:25,23:55,1,1200,2018.05.21 23:10:00,2018.05.21 23:30:00,0,0,160,142.77,2,122890,0,0,256
2018.05.22,273,276,gap_or_missing_candidate,0,0,2018.05.22 01:00:00,2018.05.22 23:55:00,01:00,23:55,1,1200,2018.05.22 23:10:00,2018.05.22 23:30:00,0,40,180,149.12,0,118107,0,0,273
2018.05.23,273,276,gap_or_missing_candidate,0,0,2018.05.23 01:00:00,2018.05.23 23:55:00,01:00,23:55,1,1200,2018.05.23 23:10:00,2018.05.23 23:30:00,0,0,160,129.78,10,174109,0,0,273
2018.05.24,273,276,gap_or_missing_candidate,0,0,2018.05.24 01:00:00,2018.05.24 23:55:00,01:00,23:55,1,1200,2018.05.24 23:10:00,2018.05.24 23:30:00,0,0,160,134.29,6,161278,0,0,273
2018.05.25,267,276,early_close_candidate,0,0,2018.05.25 01:00:00,2018.05.25 23:10:00,01:00,23:10,0,0,,,0,0,160,134.46,10,153041,0,0,267
2018.05.28,217,276,early_close_candidate,0,0,2018.05.28 01:55:00,2018.05.28 19:55:00,01:55,19:55,0,0,,,0,0,170,151.11,2,64695,0,0,217
2018.05.29,273,276,gap_or_missing_candidate,0,0,2018.05.29 01:00:00,2018.05.29 23:55:00,01:00,23:55,1,1200,2018.05.29 23:10:00,2018.05.29 23:30:00,0,0,170,122.38,10,219877,0,0,273
2018.05.30,273,276,gap_or_missing_candidate,0,0,2018.05.30 01:00:00,2018.05.30 23:55:00,01:00,23:55,1,1200,2018.05.30 23:10:00,2018.05.30 23:30:00,0,10,160,134.18,0,177966,0,0,273
2018.05.31,273,276,gap_or_missing_candidate,0,0,2018.05.31 01:00:00,2018.05.31 23:55:00,01:00,23:55,1,1200,2018.05.31 23:10:00,2018.05.31 23:30:00,0,0,160,135.86,5,175864,0,0,273
2018.06.01,267,276,early_close_candidate,0,0,2018.06.01 01:00:00,2018.06.01 23:10:00,01:00,23:10,0,0,,,0,0,160,139.70,5,139113,0,0,267
2018.06.04,273,276,gap_or_missing_candidate,0,0,2018.06.04 01:00:00,2018.06.04 23:55:00,01:00,23:55,1,1200,2018.06.04 23:10:00,2018.06.04 23:30:00,0,0,170,146.34,1,129651,0,0,273
2018.06.05,273,276,gap_or_missing_candidate,0,0,2018.06.05 01:00:00,2018.06.05 23:55:00,01:00,23:55,1,1200,2018.06.05 23:10:00,2018.06.05 23:30:00,0,0,160,149.01,1,122933,0,0,273
2018.06.06,273,276,gap_or_missing_candidate,0,0,2018.06.06 01:00:00,2018.06.06 23:55:00,01:00,23:55,1,1200,2018.06.06 23:10:00,2018.06.06 23:30:00,0,0,160,145.38,1,124946,0,0,273
2018.06.07,272,276,gap_or_missing_candidate,0,0,2018.06.07 01:00:00,2018.06.07 23:55:00,01:00,23:55,2,1200,2018.06.07 22:20:00,2018.06.07 22:30:00,0,0,160,137.28,4,153494,0,0,272
2018.06.08,267,276,early_close_candidate,0,0,2018.06.08 01:00:00,2018.06.08 23:10:00,01:00,23:10,0,0,,,0,0,160,137.30,8,127018,0,0,267
2018.06.11,273,276,gap_or_missing_candidate,0,0,2018.06.11 01:00:00,2018.06.11 23:55:00,01:00,23:55,1,1200,2018.06.11 23:10:00,2018.06.11 23:30:00,0,0,170,144.69,1,119075,0,0,273
2018.06.12,273,276,gap_or_missing_candidate,0,0,2018.06.12 01:00:00,2018.06.12 23:55:00,01:00,23:55,1,1200,2018.06.12 23:10:00,2018.06.12 23:30:00,0,0,170,145.09,2,118969,0,0,273
2018.06.13,273,276,gap_or_missing_candidate,0,0,2018.06.13 01:00:00,2018.06.13 23:55:00,01:00,23:55,1,1200,2018.06.13 23:10:00,2018.06.13 23:30:00,0,0,180,142.71,7,119872,0,0,273
2018.06.14,273,276,gap_or_missing_candidate,0,0,2018.06.14 01:00:00,2018.06.14 23:55:00,01:00,23:55,1,1200,2018.06.14 23:10:00,2018.06.14 23:30:00,0,0,160,140.66,3,135112,0,0,273
2018.06.15,267,276,early_close_candidate,0,0,2018.06.15 01:00:00,2018.06.15 23:10:00,01:00,23:10,0,0,,,0,0,160,137.90,7,152958,0,0,267
