cell_id,target_family,horizon_bars,input_family,decision_family,model_family,threshold_policy,split_use,claim_boundary,notes
wave0_cell_001,future_return_rank_or_quantile,1,price_only_m5_returns_ranges_volatility,diagnostic_rank_only,linear_or_ridge_rank_scout,none_diagnostic,train_validation_only,scout_surface_only,fast horizon ranking sanity check no trade decision
wave0_cell_002,future_return_rank_or_quantile,3,price_only_m5_returns_ranges_volatility,abstain_capable_long_short,logistic_classification_scout,coarse_density_bands_train_only,train_validation_only,scout_surface_only,short horizon direction with abstain no PF maximization
wave0_cell_003,future_return_rank_or_quantile,12,multiscale_us100_m5_aggregates,diagnostic_rank_only,linear_or_ridge_rank_scout,none_diagnostic,train_validation_only,scout_surface_only,multiscale ranking clue check
wave0_cell_004,atr_scaled_barrier_event,3,price_only_m5_returns_ranges_volatility,abstain_capable_long_short,logistic_classification_scout,coarse_density_bands_train_only,train_validation_only,scout_surface_only,barrier event scout with purge required
wave0_cell_005,atr_scaled_barrier_event,6,multiscale_us100_m5_aggregates,abstain_capable_long_short,onnx_realistic_tree_or_boosted_scout,coarse_density_bands_train_only,train_validation_only,scout_surface_only,tree scout only if implementation path is ONNX realistic
wave0_cell_006,atr_scaled_barrier_event,24,causal_rolling_regime_context,diagnostic_rank_only,linear_or_ridge_rank_scout,none_diagnostic,train_validation_only,scout_surface_only,longer horizon barrier diagnostic
wave0_cell_007,path_quality_mfe_mae_payoff_suitability,6,price_only_m5_returns_ranges_volatility,abstain_capable_direction_agnostic_tradeability,linear_or_ridge_rank_scout,coarse_density_bands_train_only,train_validation_only,scout_surface_only,path quality ranking not direction baseline
wave0_cell_008,path_quality_mfe_mae_payoff_suitability,12,multiscale_us100_m5_aggregates,abstain_capable_direction_agnostic_tradeability,logistic_classification_scout,coarse_density_bands_train_only,train_validation_only,scout_surface_only,path payoff suitability classification scout
wave0_cell_009,path_quality_mfe_mae_payoff_suitability,24,causal_rolling_regime_context,diagnostic_rank_only,linear_or_ridge_rank_scout,none_diagnostic,train_validation_only,scout_surface_only,regime conditioned path diagnostic
wave0_cell_010,tradeability_or_no_trade_regime,3,session_calendar_state,diagnostic_rank_only,logistic_classification_scout,none_diagnostic,train_validation_only,scout_surface_only,session tradeability diagnostic no execution claim
wave0_cell_011,tradeability_or_no_trade_regime,6,causal_rolling_regime_context,abstain_capable_direction_agnostic_tradeability,logistic_classification_scout,coarse_density_bands_train_only,train_validation_only,scout_surface_only,no-trade regime scout
wave0_cell_012,tradeability_or_no_trade_regime,12,multiscale_us100_m5_aggregates,abstain_capable_direction_agnostic_tradeability,onnx_realistic_tree_or_boosted_scout,coarse_density_bands_train_only,train_validation_only,scout_surface_only,extreme-ish tradeability surface not candidate
